"Path","Filename","UTFCodes","Characters"
"svg_flat/emoji_u0023_20e3.svg","emoji_u0023_20e3.svg","0023;20e3","#⃣"
"svg_flat/emoji_u0023.svg","emoji_u0023.svg","0023","#"
"svg_flat/emoji_u002a_20e3.svg","emoji_u002a_20e3.svg","002a;20e3","*⃣"
"svg_flat/emoji_u002a.svg","emoji_u002a.svg","002a","*"
"svg_flat/emoji_u0030_20e3.svg","emoji_u0030_20e3.svg","0030;20e3","0⃣"
"svg_flat/emoji_u0030.svg","emoji_u0030.svg","0030","0"
"svg_flat/emoji_u0031_20e3.svg","emoji_u0031_20e3.svg","0031;20e3","1⃣"
"svg_flat/emoji_u0031.svg","emoji_u0031.svg","0031","1"
"svg_flat/emoji_u0032_20e3.svg","emoji_u0032_20e3.svg","0032;20e3","2⃣"
"svg_flat/emoji_u0032.svg","emoji_u0032.svg","0032","2"
"svg_flat/emoji_u0033_20e3.svg","emoji_u0033_20e3.svg","0033;20e3","3⃣"
"svg_flat/emoji_u0033.svg","emoji_u0033.svg","0033","3"
"svg_flat/emoji_u0034_20e3.svg","emoji_u0034_20e3.svg","0034;20e3","4⃣"
"svg_flat/emoji_u0034.svg","emoji_u0034.svg","0034","4"
"svg_flat/emoji_u0035_20e3.svg","emoji_u0035_20e3.svg","0035;20e3","5⃣"
"svg_flat/emoji_u0035.svg","emoji_u0035.svg","0035","5"
"svg_flat/emoji_u0036_20e3.svg","emoji_u0036_20e3.svg","0036;20e3","6⃣"
"svg_flat/emoji_u0036.svg","emoji_u0036.svg","0036","6"
"svg_flat/emoji_u0037_20e3.svg","emoji_u0037_20e3.svg","0037;20e3","7⃣"
"svg_flat/emoji_u0037.svg","emoji_u0037.svg","0037","7"
"svg_flat/emoji_u0038_20e3.svg","emoji_u0038_20e3.svg","0038;20e3","8⃣"
"svg_flat/emoji_u0038.svg","emoji_u0038.svg","0038","8"
"svg_flat/emoji_u0039_20e3.svg","emoji_u0039_20e3.svg","0039;20e3","9⃣"
"svg_flat/emoji_u0039.svg","emoji_u0039.svg","0039","9"
"svg_flat/emoji_u00a9.svg","emoji_u00a9.svg","00a9","©"
"svg_flat/emoji_u00ae.svg","emoji_u00ae.svg","00ae","®"
"svg_flat/emoji_u1f004.svg","emoji_u1f004.svg","1f004","🀄"
"svg_flat/emoji_u1f0cf.svg","emoji_u1f0cf.svg","1f0cf","🃏"
"svg_flat/emoji_u1f170.svg","emoji_u1f170.svg","1f170","🅰"
"svg_flat/emoji_u1f171.svg","emoji_u1f171.svg","1f171","🅱"
"svg_flat/emoji_u1f17e.svg","emoji_u1f17e.svg","1f17e","🅾"
"svg_flat/emoji_u1f17f.svg","emoji_u1f17f.svg","1f17f","🅿"
"svg_flat/emoji_u1f18e.svg","emoji_u1f18e.svg","1f18e","🆎"
"svg_flat/emoji_u1f191.svg","emoji_u1f191.svg","1f191","🆑"
"svg_flat/emoji_u1f192.svg","emoji_u1f192.svg","1f192","🆒"
"svg_flat/emoji_u1f193.svg","emoji_u1f193.svg","1f193","🆓"
"svg_flat/emoji_u1f194.svg","emoji_u1f194.svg","1f194","🆔"
"svg_flat/emoji_u1f195.svg","emoji_u1f195.svg","1f195","🆕"
"svg_flat/emoji_u1f196.svg","emoji_u1f196.svg","1f196","🆖"
"svg_flat/emoji_u1f197.svg","emoji_u1f197.svg","1f197","🆗"
"svg_flat/emoji_u1f198.svg","emoji_u1f198.svg","1f198","🆘"
"svg_flat/emoji_u1f199.svg","emoji_u1f199.svg","1f199","🆙"
"svg_flat/emoji_u1f19a.svg","emoji_u1f19a.svg","1f19a","🆚"
"svg_flat/emoji_u1f1e6.svg","emoji_u1f1e6.svg","1f1e6","🇦"
"svg_flat/emoji_u1f1e7.svg","emoji_u1f1e7.svg","1f1e7","🇧"
"svg_flat/emoji_u1f1e8.svg","emoji_u1f1e8.svg","1f1e8","🇨"
"svg_flat/emoji_u1f1e9.svg","emoji_u1f1e9.svg","1f1e9","🇩"
"svg_flat/emoji_u1f1ea.svg","emoji_u1f1ea.svg","1f1ea","🇪"
"svg_flat/emoji_u1f1eb.svg","emoji_u1f1eb.svg","1f1eb","🇫"
"svg_flat/emoji_u1f1ec.svg","emoji_u1f1ec.svg","1f1ec","🇬"
"svg_flat/emoji_u1f1ed.svg","emoji_u1f1ed.svg","1f1ed","🇭"
"svg_flat/emoji_u1f1ee.svg","emoji_u1f1ee.svg","1f1ee","🇮"
"svg_flat/emoji_u1f1ef.svg","emoji_u1f1ef.svg","1f1ef","🇯"
"svg_flat/emoji_u1f1f0.svg","emoji_u1f1f0.svg","1f1f0","🇰"
"svg_flat/emoji_u1f1f1.svg","emoji_u1f1f1.svg","1f1f1","🇱"
"svg_flat/emoji_u1f1f2.svg","emoji_u1f1f2.svg","1f1f2","🇲"
"svg_flat/emoji_u1f1f3.svg","emoji_u1f1f3.svg","1f1f3","🇳"
"svg_flat/emoji_u1f1f4.svg","emoji_u1f1f4.svg","1f1f4","🇴"
"svg_flat/emoji_u1f1f5.svg","emoji_u1f1f5.svg","1f1f5","🇵"
"svg_flat/emoji_u1f1f6.svg","emoji_u1f1f6.svg","1f1f6","🇶"
"svg_flat/emoji_u1f1f7.svg","emoji_u1f1f7.svg","1f1f7","🇷"
"svg_flat/emoji_u1f1f8.svg","emoji_u1f1f8.svg","1f1f8","🇸"
"svg_flat/emoji_u1f1f9.svg","emoji_u1f1f9.svg","1f1f9","🇹"
"svg_flat/emoji_u1f1fa.svg","emoji_u1f1fa.svg","1f1fa","🇺"
"svg_flat/emoji_u1f1fb.svg","emoji_u1f1fb.svg","1f1fb","🇻"
"svg_flat/emoji_u1f1fc.svg","emoji_u1f1fc.svg","1f1fc","🇼"
"svg_flat/emoji_u1f1fd.svg","emoji_u1f1fd.svg","1f1fd","🇽"
"svg_flat/emoji_u1f1fe.svg","emoji_u1f1fe.svg","1f1fe","🇾"
"svg_flat/emoji_u1f1ff.svg","emoji_u1f1ff.svg","1f1ff","🇿"
"svg_flat/emoji_u1f201.svg","emoji_u1f201.svg","1f201","🈁"
"svg_flat/emoji_u1f202.svg","emoji_u1f202.svg","1f202","🈂"
"svg_flat/emoji_u1f21a.svg","emoji_u1f21a.svg","1f21a","🈚"
"svg_flat/emoji_u1f22f.svg","emoji_u1f22f.svg","1f22f","🈯"
"svg_flat/emoji_u1f232.svg","emoji_u1f232.svg","1f232","🈲"
"svg_flat/emoji_u1f233.svg","emoji_u1f233.svg","1f233","🈳"
"svg_flat/emoji_u1f234.svg","emoji_u1f234.svg","1f234","🈴"
"svg_flat/emoji_u1f235.svg","emoji_u1f235.svg","1f235","🈵"
"svg_flat/emoji_u1f236.svg","emoji_u1f236.svg","1f236","🈶"
"svg_flat/emoji_u1f237.svg","emoji_u1f237.svg","1f237","🈷"
"svg_flat/emoji_u1f238.svg","emoji_u1f238.svg","1f238","🈸"
"svg_flat/emoji_u1f239.svg","emoji_u1f239.svg","1f239","🈹"
"svg_flat/emoji_u1f23a.svg","emoji_u1f23a.svg","1f23a","🈺"
"svg_flat/emoji_u1f250.svg","emoji_u1f250.svg","1f250","🉐"
"svg_flat/emoji_u1f251.svg","emoji_u1f251.svg","1f251","🉑"
"svg_flat/emoji_u1f300.svg","emoji_u1f300.svg","1f300","🌀"
"svg_flat/emoji_u1f301.svg","emoji_u1f301.svg","1f301","🌁"
"svg_flat/emoji_u1f302.svg","emoji_u1f302.svg","1f302","🌂"
"svg_flat/emoji_u1f303.svg","emoji_u1f303.svg","1f303","🌃"
"svg_flat/emoji_u1f304.svg","emoji_u1f304.svg","1f304","🌄"
"svg_flat/emoji_u1f305.svg","emoji_u1f305.svg","1f305","🌅"
"svg_flat/emoji_u1f306.svg","emoji_u1f306.svg","1f306","🌆"
"svg_flat/emoji_u1f307.svg","emoji_u1f307.svg","1f307","🌇"
"svg_flat/emoji_u1f308.svg","emoji_u1f308.svg","1f308","🌈"
"svg_flat/emoji_u1f309.svg","emoji_u1f309.svg","1f309","🌉"
"svg_flat/emoji_u1f30a.svg","emoji_u1f30a.svg","1f30a","🌊"
"svg_flat/emoji_u1f30b.svg","emoji_u1f30b.svg","1f30b","🌋"
"svg_flat/emoji_u1f30c.svg","emoji_u1f30c.svg","1f30c","🌌"
"svg_flat/emoji_u1f30d.svg","emoji_u1f30d.svg","1f30d","🌍"
"svg_flat/emoji_u1f30e.svg","emoji_u1f30e.svg","1f30e","🌎"
"svg_flat/emoji_u1f30f.svg","emoji_u1f30f.svg","1f30f","🌏"
"svg_flat/emoji_u1f310.svg","emoji_u1f310.svg","1f310","🌐"
"svg_flat/emoji_u1f311.svg","emoji_u1f311.svg","1f311","🌑"
"svg_flat/emoji_u1f312.svg","emoji_u1f312.svg","1f312","🌒"
"svg_flat/emoji_u1f313.svg","emoji_u1f313.svg","1f313","🌓"
"svg_flat/emoji_u1f314.svg","emoji_u1f314.svg","1f314","🌔"
"svg_flat/emoji_u1f315.svg","emoji_u1f315.svg","1f315","🌕"
"svg_flat/emoji_u1f316.svg","emoji_u1f316.svg","1f316","🌖"
"svg_flat/emoji_u1f317.svg","emoji_u1f317.svg","1f317","🌗"
"svg_flat/emoji_u1f318.svg","emoji_u1f318.svg","1f318","🌘"
"svg_flat/emoji_u1f319.svg","emoji_u1f319.svg","1f319","🌙"
"svg_flat/emoji_u1f31a.svg","emoji_u1f31a.svg","1f31a","🌚"
"svg_flat/emoji_u1f31b.svg","emoji_u1f31b.svg","1f31b","🌛"
"svg_flat/emoji_u1f31c.svg","emoji_u1f31c.svg","1f31c","🌜"
"svg_flat/emoji_u1f31d.svg","emoji_u1f31d.svg","1f31d","🌝"
"svg_flat/emoji_u1f31e.svg","emoji_u1f31e.svg","1f31e","🌞"
"svg_flat/emoji_u1f31f.svg","emoji_u1f31f.svg","1f31f","🌟"
"svg_flat/emoji_u1f320.svg","emoji_u1f320.svg","1f320","🌠"
"svg_flat/emoji_u1f321.svg","emoji_u1f321.svg","1f321","🌡"
"svg_flat/emoji_u1f324.svg","emoji_u1f324.svg","1f324","🌤"
"svg_flat/emoji_u1f325.svg","emoji_u1f325.svg","1f325","🌥"
"svg_flat/emoji_u1f326.svg","emoji_u1f326.svg","1f326","🌦"
"svg_flat/emoji_u1f327.svg","emoji_u1f327.svg","1f327","🌧"
"svg_flat/emoji_u1f328.svg","emoji_u1f328.svg","1f328","🌨"
"svg_flat/emoji_u1f329.svg","emoji_u1f329.svg","1f329","🌩"
"svg_flat/emoji_u1f32a.svg","emoji_u1f32a.svg","1f32a","🌪"
"svg_flat/emoji_u1f32b.svg","emoji_u1f32b.svg","1f32b","🌫"
"svg_flat/emoji_u1f32c.svg","emoji_u1f32c.svg","1f32c","🌬"
"svg_flat/emoji_u1f32d.svg","emoji_u1f32d.svg","1f32d","🌭"
"svg_flat/emoji_u1f32e.svg","emoji_u1f32e.svg","1f32e","🌮"
"svg_flat/emoji_u1f32f.svg","emoji_u1f32f.svg","1f32f","🌯"
"svg_flat/emoji_u1f330.svg","emoji_u1f330.svg","1f330","🌰"
"svg_flat/emoji_u1f331.svg","emoji_u1f331.svg","1f331","🌱"
"svg_flat/emoji_u1f332.svg","emoji_u1f332.svg","1f332","🌲"
"svg_flat/emoji_u1f333.svg","emoji_u1f333.svg","1f333","🌳"
"svg_flat/emoji_u1f334.svg","emoji_u1f334.svg","1f334","🌴"
"svg_flat/emoji_u1f335.svg","emoji_u1f335.svg","1f335","🌵"
"svg_flat/emoji_u1f336.svg","emoji_u1f336.svg","1f336","🌶"
"svg_flat/emoji_u1f337.svg","emoji_u1f337.svg","1f337","🌷"
"svg_flat/emoji_u1f338.svg","emoji_u1f338.svg","1f338","🌸"
"svg_flat/emoji_u1f339.svg","emoji_u1f339.svg","1f339","🌹"
"svg_flat/emoji_u1f33a.svg","emoji_u1f33a.svg","1f33a","🌺"
"svg_flat/emoji_u1f33b.svg","emoji_u1f33b.svg","1f33b","🌻"
"svg_flat/emoji_u1f33c.svg","emoji_u1f33c.svg","1f33c","🌼"
"svg_flat/emoji_u1f33d.svg","emoji_u1f33d.svg","1f33d","🌽"
"svg_flat/emoji_u1f33e.svg","emoji_u1f33e.svg","1f33e","🌾"
"svg_flat/emoji_u1f33f.svg","emoji_u1f33f.svg","1f33f","🌿"
"svg_flat/emoji_u1f340.svg","emoji_u1f340.svg","1f340","🍀"
"svg_flat/emoji_u1f341.svg","emoji_u1f341.svg","1f341","🍁"
"svg_flat/emoji_u1f342.svg","emoji_u1f342.svg","1f342","🍂"
"svg_flat/emoji_u1f343.svg","emoji_u1f343.svg","1f343","🍃"
"svg_flat/emoji_u1f344_200d_1f7eb.svg","emoji_u1f344_200d_1f7eb.svg","1f344;1f7eb","🍄🟫"
"svg_flat/emoji_u1f344.svg","emoji_u1f344.svg","1f344","🍄"
"svg_flat/emoji_u1f345.svg","emoji_u1f345.svg","1f345","🍅"
"svg_flat/emoji_u1f346.svg","emoji_u1f346.svg","1f346","🍆"
"svg_flat/emoji_u1f347.svg","emoji_u1f347.svg","1f347","🍇"
"svg_flat/emoji_u1f348.svg","emoji_u1f348.svg","1f348","🍈"
"svg_flat/emoji_u1f349.svg","emoji_u1f349.svg","1f349","🍉"
"svg_flat/emoji_u1f34a.svg","emoji_u1f34a.svg","1f34a","🍊"
"svg_flat/emoji_u1f34b_200d_1f7e9.svg","emoji_u1f34b_200d_1f7e9.svg","1f34b;1f7e9","🍋🟩"
"svg_flat/emoji_u1f34b.svg","emoji_u1f34b.svg","1f34b","🍋"
"svg_flat/emoji_u1f34c.svg","emoji_u1f34c.svg","1f34c","🍌"
"svg_flat/emoji_u1f34d.svg","emoji_u1f34d.svg","1f34d","🍍"
"svg_flat/emoji_u1f34e.svg","emoji_u1f34e.svg","1f34e","🍎"
"svg_flat/emoji_u1f34f.svg","emoji_u1f34f.svg","1f34f","🍏"
"svg_flat/emoji_u1f350.svg","emoji_u1f350.svg","1f350","🍐"
"svg_flat/emoji_u1f351.svg","emoji_u1f351.svg","1f351","🍑"
"svg_flat/emoji_u1f352.svg","emoji_u1f352.svg","1f352","🍒"
"svg_flat/emoji_u1f353.svg","emoji_u1f353.svg","1f353","🍓"
"svg_flat/emoji_u1f354.svg","emoji_u1f354.svg","1f354","🍔"
"svg_flat/emoji_u1f355.svg","emoji_u1f355.svg","1f355","🍕"
"svg_flat/emoji_u1f356.svg","emoji_u1f356.svg","1f356","🍖"
"svg_flat/emoji_u1f357.svg","emoji_u1f357.svg","1f357","🍗"
"svg_flat/emoji_u1f358.svg","emoji_u1f358.svg","1f358","🍘"
"svg_flat/emoji_u1f359.svg","emoji_u1f359.svg","1f359","🍙"
"svg_flat/emoji_u1f35a.svg","emoji_u1f35a.svg","1f35a","🍚"
"svg_flat/emoji_u1f35b.svg","emoji_u1f35b.svg","1f35b","🍛"
"svg_flat/emoji_u1f35c.svg","emoji_u1f35c.svg","1f35c","🍜"
"svg_flat/emoji_u1f35d.svg","emoji_u1f35d.svg","1f35d","🍝"
"svg_flat/emoji_u1f35e.svg","emoji_u1f35e.svg","1f35e","🍞"
"svg_flat/emoji_u1f35f.svg","emoji_u1f35f.svg","1f35f","🍟"
"svg_flat/emoji_u1f360.svg","emoji_u1f360.svg","1f360","🍠"
"svg_flat/emoji_u1f361.svg","emoji_u1f361.svg","1f361","🍡"
"svg_flat/emoji_u1f362.svg","emoji_u1f362.svg","1f362","🍢"
"svg_flat/emoji_u1f363.svg","emoji_u1f363.svg","1f363","🍣"
"svg_flat/emoji_u1f364.svg","emoji_u1f364.svg","1f364","🍤"
"svg_flat/emoji_u1f365.svg","emoji_u1f365.svg","1f365","🍥"
"svg_flat/emoji_u1f366.svg","emoji_u1f366.svg","1f366","🍦"
"svg_flat/emoji_u1f367.svg","emoji_u1f367.svg","1f367","🍧"
"svg_flat/emoji_u1f368.svg","emoji_u1f368.svg","1f368","🍨"
"svg_flat/emoji_u1f369.svg","emoji_u1f369.svg","1f369","🍩"
"svg_flat/emoji_u1f36a.svg","emoji_u1f36a.svg","1f36a","🍪"
"svg_flat/emoji_u1f36b.svg","emoji_u1f36b.svg","1f36b","🍫"
"svg_flat/emoji_u1f36c.svg","emoji_u1f36c.svg","1f36c","🍬"
"svg_flat/emoji_u1f36d.svg","emoji_u1f36d.svg","1f36d","🍭"
"svg_flat/emoji_u1f36e.svg","emoji_u1f36e.svg","1f36e","🍮"
"svg_flat/emoji_u1f36f.svg","emoji_u1f36f.svg","1f36f","🍯"
"svg_flat/emoji_u1f370.svg","emoji_u1f370.svg","1f370","🍰"
"svg_flat/emoji_u1f371.svg","emoji_u1f371.svg","1f371","🍱"
"svg_flat/emoji_u1f372.svg","emoji_u1f372.svg","1f372","🍲"
"svg_flat/emoji_u1f373.svg","emoji_u1f373.svg","1f373","🍳"
"svg_flat/emoji_u1f374.svg","emoji_u1f374.svg","1f374","🍴"
"svg_flat/emoji_u1f375.svg","emoji_u1f375.svg","1f375","🍵"
"svg_flat/emoji_u1f376.svg","emoji_u1f376.svg","1f376","🍶"
"svg_flat/emoji_u1f377.svg","emoji_u1f377.svg","1f377","🍷"
"svg_flat/emoji_u1f378.svg","emoji_u1f378.svg","1f378","🍸"
"svg_flat/emoji_u1f379.svg","emoji_u1f379.svg","1f379","🍹"
"svg_flat/emoji_u1f37a.svg","emoji_u1f37a.svg","1f37a","🍺"
"svg_flat/emoji_u1f37b.svg","emoji_u1f37b.svg","1f37b","🍻"
"svg_flat/emoji_u1f37c.svg","emoji_u1f37c.svg","1f37c","🍼"
"svg_flat/emoji_u1f37d.svg","emoji_u1f37d.svg","1f37d","🍽"
"svg_flat/emoji_u1f37e.svg","emoji_u1f37e.svg","1f37e","🍾"
"svg_flat/emoji_u1f37f.svg","emoji_u1f37f.svg","1f37f","🍿"
"svg_flat/emoji_u1f380.svg","emoji_u1f380.svg","1f380","🎀"
"svg_flat/emoji_u1f381.svg","emoji_u1f381.svg","1f381","🎁"
"svg_flat/emoji_u1f382.svg","emoji_u1f382.svg","1f382","🎂"
"svg_flat/emoji_u1f383.svg","emoji_u1f383.svg","1f383","🎃"
"svg_flat/emoji_u1f384.svg","emoji_u1f384.svg","1f384","🎄"
"svg_flat/emoji_u1f385_1f3fb.svg","emoji_u1f385_1f3fb.svg","1f385;1f3fb","🎅🏻"
"svg_flat/emoji_u1f385_1f3fc.svg","emoji_u1f385_1f3fc.svg","1f385;1f3fc","🎅🏼"
"svg_flat/emoji_u1f385_1f3fd.svg","emoji_u1f385_1f3fd.svg","1f385;1f3fd","🎅🏽"
"svg_flat/emoji_u1f385_1f3fe.svg","emoji_u1f385_1f3fe.svg","1f385;1f3fe","🎅🏾"
"svg_flat/emoji_u1f385_1f3ff.svg","emoji_u1f385_1f3ff.svg","1f385;1f3ff","🎅🏿"
"svg_flat/emoji_u1f385.svg","emoji_u1f385.svg","1f385","🎅"
"svg_flat/emoji_u1f386.svg","emoji_u1f386.svg","1f386","🎆"
"svg_flat/emoji_u1f387.svg","emoji_u1f387.svg","1f387","🎇"
"svg_flat/emoji_u1f388.svg","emoji_u1f388.svg","1f388","🎈"
"svg_flat/emoji_u1f389.svg","emoji_u1f389.svg","1f389","🎉"
"svg_flat/emoji_u1f38a.svg","emoji_u1f38a.svg","1f38a","🎊"
"svg_flat/emoji_u1f38b.svg","emoji_u1f38b.svg","1f38b","🎋"
"svg_flat/emoji_u1f38c.svg","emoji_u1f38c.svg","1f38c","🎌"
"svg_flat/emoji_u1f38d.svg","emoji_u1f38d.svg","1f38d","🎍"
"svg_flat/emoji_u1f38e.svg","emoji_u1f38e.svg","1f38e","🎎"
"svg_flat/emoji_u1f38f.svg","emoji_u1f38f.svg","1f38f","🎏"
"svg_flat/emoji_u1f390.svg","emoji_u1f390.svg","1f390","🎐"
"svg_flat/emoji_u1f391.svg","emoji_u1f391.svg","1f391","🎑"
"svg_flat/emoji_u1f392.svg","emoji_u1f392.svg","1f392","🎒"
"svg_flat/emoji_u1f393.svg","emoji_u1f393.svg","1f393","🎓"
"svg_flat/emoji_u1f396.svg","emoji_u1f396.svg","1f396","🎖"
"svg_flat/emoji_u1f397.svg","emoji_u1f397.svg","1f397","🎗"
"svg_flat/emoji_u1f399.svg","emoji_u1f399.svg","1f399","🎙"
"svg_flat/emoji_u1f39a.svg","emoji_u1f39a.svg","1f39a","🎚"
"svg_flat/emoji_u1f39b.svg","emoji_u1f39b.svg","1f39b","🎛"
"svg_flat/emoji_u1f39e.svg","emoji_u1f39e.svg","1f39e","🎞"
"svg_flat/emoji_u1f39f.svg","emoji_u1f39f.svg","1f39f","🎟"
"svg_flat/emoji_u1f3a0.svg","emoji_u1f3a0.svg","1f3a0","🎠"
"svg_flat/emoji_u1f3a1.svg","emoji_u1f3a1.svg","1f3a1","🎡"
"svg_flat/emoji_u1f3a2.svg","emoji_u1f3a2.svg","1f3a2","🎢"
"svg_flat/emoji_u1f3a3.svg","emoji_u1f3a3.svg","1f3a3","🎣"
"svg_flat/emoji_u1f3a4.svg","emoji_u1f3a4.svg","1f3a4","🎤"
"svg_flat/emoji_u1f3a5.svg","emoji_u1f3a5.svg","1f3a5","🎥"
"svg_flat/emoji_u1f3a6.svg","emoji_u1f3a6.svg","1f3a6","🎦"
"svg_flat/emoji_u1f3a7.svg","emoji_u1f3a7.svg","1f3a7","🎧"
"svg_flat/emoji_u1f3a8.svg","emoji_u1f3a8.svg","1f3a8","🎨"
"svg_flat/emoji_u1f3a9.svg","emoji_u1f3a9.svg","1f3a9","🎩"
"svg_flat/emoji_u1f3aa.svg","emoji_u1f3aa.svg","1f3aa","🎪"
"svg_flat/emoji_u1f3ab.svg","emoji_u1f3ab.svg","1f3ab","🎫"
"svg_flat/emoji_u1f3ac.svg","emoji_u1f3ac.svg","1f3ac","🎬"
"svg_flat/emoji_u1f3ad.svg","emoji_u1f3ad.svg","1f3ad","🎭"
"svg_flat/emoji_u1f3ae.svg","emoji_u1f3ae.svg","1f3ae","🎮"
"svg_flat/emoji_u1f3af.svg","emoji_u1f3af.svg","1f3af","🎯"
"svg_flat/emoji_u1f3b0.svg","emoji_u1f3b0.svg","1f3b0","🎰"
"svg_flat/emoji_u1f3b1.svg","emoji_u1f3b1.svg","1f3b1","🎱"
"svg_flat/emoji_u1f3b2.svg","emoji_u1f3b2.svg","1f3b2","🎲"
"svg_flat/emoji_u1f3b3.svg","emoji_u1f3b3.svg","1f3b3","🎳"
"svg_flat/emoji_u1f3b4.svg","emoji_u1f3b4.svg","1f3b4","🎴"
"svg_flat/emoji_u1f3b5.svg","emoji_u1f3b5.svg","1f3b5","🎵"
"svg_flat/emoji_u1f3b6.svg","emoji_u1f3b6.svg","1f3b6","🎶"
"svg_flat/emoji_u1f3b7.svg","emoji_u1f3b7.svg","1f3b7","🎷"
"svg_flat/emoji_u1f3b8.svg","emoji_u1f3b8.svg","1f3b8","🎸"
"svg_flat/emoji_u1f3b9.svg","emoji_u1f3b9.svg","1f3b9","🎹"
"svg_flat/emoji_u1f3ba.svg","emoji_u1f3ba.svg","1f3ba","🎺"
"svg_flat/emoji_u1f3bb.svg","emoji_u1f3bb.svg","1f3bb","🎻"
"svg_flat/emoji_u1f3bc.svg","emoji_u1f3bc.svg","1f3bc","🎼"
"svg_flat/emoji_u1f3bd.svg","emoji_u1f3bd.svg","1f3bd","🎽"
"svg_flat/emoji_u1f3be.svg","emoji_u1f3be.svg","1f3be","🎾"
"svg_flat/emoji_u1f3bf.svg","emoji_u1f3bf.svg","1f3bf","🎿"
"svg_flat/emoji_u1f3c0.svg","emoji_u1f3c0.svg","1f3c0","🏀"
"svg_flat/emoji_u1f3c1.svg","emoji_u1f3c1.svg","1f3c1","🏁"
"svg_flat/emoji_u1f3c2_1f3fb.svg","emoji_u1f3c2_1f3fb.svg","1f3c2;1f3fb","🏂🏻"
"svg_flat/emoji_u1f3c2_1f3fc.svg","emoji_u1f3c2_1f3fc.svg","1f3c2;1f3fc","🏂🏼"
"svg_flat/emoji_u1f3c2_1f3fd.svg","emoji_u1f3c2_1f3fd.svg","1f3c2;1f3fd","🏂🏽"
"svg_flat/emoji_u1f3c2_1f3fe.svg","emoji_u1f3c2_1f3fe.svg","1f3c2;1f3fe","🏂🏾"
"svg_flat/emoji_u1f3c2_1f3ff.svg","emoji_u1f3c2_1f3ff.svg","1f3c2;1f3ff","🏂🏿"
"svg_flat/emoji_u1f3c2.svg","emoji_u1f3c2.svg","1f3c2","🏂"
"svg_flat/emoji_u1f3c3_1f3fb_200d_2640_200d_27a1.svg","emoji_u1f3c3_1f3fb_200d_2640_200d_27a1.svg","1f3c3;1f3fb;2640","🏃🏻♀"
"svg_flat/emoji_u1f3c3_1f3fb_200d_2640.svg","emoji_u1f3c3_1f3fb_200d_2640.svg","1f3c3;1f3fb;2640","🏃🏻♀"
"svg_flat/emoji_u1f3c3_1f3fb_200d_2642_200d_27a1.svg","emoji_u1f3c3_1f3fb_200d_2642_200d_27a1.svg","1f3c3;1f3fb;2642","🏃🏻♂"
"svg_flat/emoji_u1f3c3_1f3fb_200d_2642.svg","emoji_u1f3c3_1f3fb_200d_2642.svg","1f3c3;1f3fb;2642","🏃🏻♂"
"svg_flat/emoji_u1f3c3_1f3fb_200d_27a1.svg","emoji_u1f3c3_1f3fb_200d_27a1.svg","1f3c3;1f3fb","🏃🏻"
"svg_flat/emoji_u1f3c3_1f3fb.svg","emoji_u1f3c3_1f3fb.svg","1f3c3;1f3fb","🏃🏻"
"svg_flat/emoji_u1f3c3_1f3fc_200d_2640_200d_27a1.svg","emoji_u1f3c3_1f3fc_200d_2640_200d_27a1.svg","1f3c3;1f3fc;2640","🏃🏼♀"
"svg_flat/emoji_u1f3c3_1f3fc_200d_2640.svg","emoji_u1f3c3_1f3fc_200d_2640.svg","1f3c3;1f3fc;2640","🏃🏼♀"
"svg_flat/emoji_u1f3c3_1f3fc_200d_2642_200d_27a1.svg","emoji_u1f3c3_1f3fc_200d_2642_200d_27a1.svg","1f3c3;1f3fc;2642","🏃🏼♂"
"svg_flat/emoji_u1f3c3_1f3fc_200d_2642.svg","emoji_u1f3c3_1f3fc_200d_2642.svg","1f3c3;1f3fc;2642","🏃🏼♂"
"svg_flat/emoji_u1f3c3_1f3fc_200d_27a1.svg","emoji_u1f3c3_1f3fc_200d_27a1.svg","1f3c3;1f3fc","🏃🏼"
"svg_flat/emoji_u1f3c3_1f3fc.svg","emoji_u1f3c3_1f3fc.svg","1f3c3;1f3fc","🏃🏼"
"svg_flat/emoji_u1f3c3_1f3fd_200d_2640_200d_27a1.svg","emoji_u1f3c3_1f3fd_200d_2640_200d_27a1.svg","1f3c3;1f3fd;2640","🏃🏽♀"
"svg_flat/emoji_u1f3c3_1f3fd_200d_2640.svg","emoji_u1f3c3_1f3fd_200d_2640.svg","1f3c3;1f3fd;2640","🏃🏽♀"
"svg_flat/emoji_u1f3c3_1f3fd_200d_2642_200d_27a1.svg","emoji_u1f3c3_1f3fd_200d_2642_200d_27a1.svg","1f3c3;1f3fd;2642","🏃🏽♂"
"svg_flat/emoji_u1f3c3_1f3fd_200d_2642.svg","emoji_u1f3c3_1f3fd_200d_2642.svg","1f3c3;1f3fd;2642","🏃🏽♂"
"svg_flat/emoji_u1f3c3_1f3fd_200d_27a1.svg","emoji_u1f3c3_1f3fd_200d_27a1.svg","1f3c3;1f3fd","🏃🏽"
"svg_flat/emoji_u1f3c3_1f3fd.svg","emoji_u1f3c3_1f3fd.svg","1f3c3;1f3fd","🏃🏽"
"svg_flat/emoji_u1f3c3_1f3fe_200d_2640_200d_27a1.svg","emoji_u1f3c3_1f3fe_200d_2640_200d_27a1.svg","1f3c3;1f3fe;2640","🏃🏾♀"
